Frequency,Cycles,Operations,Efficiency,Timer per inference (ms),Energy per inference (nJ)
370000000.0,6273579.0,33913280.0,3.3e-13,16.95561891891892,189.7568151502962
370000000.0,6272893.0,33913280.0,3.3e-13,16.953764864864862,189.73606572238697
370000000.0,6271012.0,33913280.0,3.3e-13,16.94868108108108,189.67917115402375
370000000.0,6273100.0,33913280.0,3.3e-13,16.954324324324325,189.74232684713513
370000000.0,6274762.0,33913280.0,3.3e-13,16.958816216216217,189.79259732699677
370000000.0,6272899.0,33913280.0,3.3e-13,16.95378108108108,189.73624720426375
370000000.0,6273158.0,33913280.0,3.3e-13,16.95448108108108,189.74408117194378
370000000.0,6273915.0,33913280.0,3.3e-13,16.956527027027025,189.76697813539457
370000000.0,6274036.0,33913280.0,3.3e-13,16.95685405405405,189.77063801990917
370000000.0,6271712.0,33913280.0,3.3e-13,16.950572972972974,189.70034403964542
